Timeline,ID,Title,Author,Amazon Link
Legends,luke-skywalker-and-the-shadows-of-mindor,Luke Skywalker and the Shadows of Mindor,Matthew Stover,https://amzn.to/4dorObZ
Legends,tales-from-jabba-s-palace,Tales from Jabba's Palace,various authors,https://amzn.to/4degCjp
Legends,star-wars-return-of-the-jedi,Star Wars: Return of the Jedi,James Kahn,https://amzn.to/4uPGW9B
Legends,the-truce-at-bakura,The Truce at Bakura,Kathy Tyers,https://amzn.to/4uJ3ngo
Legends,the-force-unleashed,The Force Unleashed,Sean Williams,https://amzn.to/4dNgA28
Legends,death-star,Death Star,Michael Reaves & Steve Perry,https://amzn.to/4dtCBSw
Legends,tales-of-the-bounty-hunters,Tales of the Bounty Hunters,various authors,https://amzn.to/4ddgtNc
Legends,han-solo-s-revenge,Han Solo's Revenge,Brian Daley,https://amzn.to/4wyTXpG
Legends,han-solo-and-the-lost-legacy,Han Solo and the Lost Legacy,Brian Daley,https://amzn.to/4wyTXpG
Legends,galaxies-the-ruins-of-dantooine,Galaxies: The Ruins of Dantooine,Voronica Whitney-Robinson w/ Haden Blackman,https://amzn.to/4ntWEVi
Legends,the-force-unleashed-ii,The Force Unleashed II,Sean Williams,https://amzn.to/4tzDGy9
Legends,death-troopers,Death Troopers,Joe Schreiber,https://amzn.to/4tFNruD
Legends,honor-among-thieves,Honor Among Thieves,James S.A. Correy,https://amzn.to/3RHHEXY
Legends,choices-of-one,Choices of One,Timothy Zahn,https://amzn.to/4uipZES
Legends,allegiance,Allegiance,Timothy Zahn,https://amzn.to/4uf65KX
Legends,shadow-games,Shadow Games,Michael Reaves and Maya Kaathryn Bohnhoff,https://amzn.to/4uT6PFv
Legends,star-wars-a-new-hope,Star Wars: A New Hope,George Lucas,https://amzn.to/4d8e06I
Legends,scoundrels,Scoundrels,Timothy Zahn,https://amzn.to/42CiCvW
Legends,tales-from-the-new-republic,Tales From the New Republic,various authors,https://amzn.to/4dorFVZ
Legends,clone-wars-gambit-stealth,Clone Wars Gambit: Stealth,Karen Miller,https://amzn.to/4wtL6FP
Legends,clone-wars-gambit-siege,Clone Wars Gambit: Siege,Karen Miller,https://amzn.to/4974kqB
Legends,republic-commando-true-colors,Republic Commando: True Colors,Karen Traviss,https://amzn.to/4dMqWPN
Legends,the-paradise-snare,The Paradise Snare,A. C. Crispin,https://amzn.to/4tCkQ9k
Legends,the-hutt-gambit,The Hutt Gambit,A. C. Crispin,https://amzn.to/49EyYb5
Legends,lando-calrissian-and-the-mindharp-of-sharu,Lando Calrissian and the Mindharp of Sharu,L. Neil Smith,https://amzn.to/4wyTPXe
Legends,lando-calrissian-and-the-flamewind-of-oseon,Lando Calrissian and the Flamewind of Oseon,L. Neil Smith,https://amzn.to/4wyTPXe
Legends,lando-calrissian-and-the-starcave-of-thonboka,Lando Calrissian and the Starcave of ThonBoka,L. Neil Smith,https://amzn.to/4wyTPXe
Legends,han-solo-s-at-stars-end,Han Solo at Stars’ End,Brian Daley,https://amzn.to/4wyTXpG
